aṅgahīna	aṅga	hīna
aṅgā@ṅgi	aṅga	?
aṅgā@ṅgi-tā	aṅga	?
aṅgā@ṅgi-bhāva	aṅga	?
aṅgā@ṅgi-bhāva-saṃkara	aṅga	?
aṅgā@dhipa	aṅga	?
aṅgā@nukūla	aṅga	?
aṅgā@nulepana	aṅga	?
aṅgā@pūrva	aṅga	?
aṅge@śvara	aṅga	?
aṅge-ṣṭhā	aṅga	?
aṅgo@ñcha	aṅga	?
aṅgo@ñchana	aṅga	?
aṅganā-gaṇa	aṅgana	?
aṅganā-jana	aṅgana	?
aṅganā-priya	aṅgana	?
aṅgārakarmā@nta	aṅgāra	karmā@nta
aṅgārakārin	aṅgāra	kārin
aṅgārakṛt	aṅgāra	kṛt
aṅgārakuṣṭhaka	aṅgāra	kuṣṭhaka
aṅgārajīvikā	aṅgāra	jīvikā
aṅgāradhānī	aṅgāra	dhānī
aṅgāradhānikā	aṅgāra	dhānikā
aṅgāraparipācita	aṅgāra	paripācita
aṅgāraparṇa	aṅgāra	parṇa
aṅgārapātrī	aṅgāra	pātrī
aṅgārapuṣpa	aṅgāra	puṣpa
aṅgāramañjarī	aṅgāra	mañjarī
aṅgāramañjī	aṅgāra	mañjī
aṅgāravarṣa	aṅgāra	varṣa
aṅgāravallarī	aṅgāra	vallarī
aṅgāravallī	aṅgāra	vallī
aṅgāravāra	aṅgāra	vāra
aṅgāraśakaṭi	aṅgāra	śakaṭi
aṅgāraśakaṭī	aṅgāra	śakaṭī
aṅgārasātkṛ	aṅgāra	?
aṅgārasetu	aṅgāra	setu
aṅgārā@vakṣayaṇa	aṅgāra	?
aṅgārā@vakṣepaṇa	aṅgāra	?
aṅgārakadina	aṅgāraka	dina
aṅgārakamaṇi	aṅgāraka	maṇi
aṅgārakayantra	aṅgāraka	yantra
aṅgārakavāra	aṅgāraka	vāra
aṅgiraḥ-smṛti	aṅgiras	?
aṅgirastama	aṅgiras	tama
aṅgirasvat	aṅgiras	vat
aṅgiro-dhāman	aṅgiras	?
aṅgulapramāṇa	aṅgula	pramāṇa
aṅgulamāna	aṅgula	māna
aṅgularāji	aṅgula	rāji
aṅgulikā	aṅguli	?
aṅgulija	aṅguli	ja
aṅgulitoraṇa	aṅguli	toraṇa
aṅgulitra	aṅguli	tra
aṅgulitrāṇa	aṅguli	trāṇa
aṅgulipraṇejana	aṅguli	praṇejana
aṅguliprā@śana	aṅguli	prā@śana
aṅgulimātra	aṅguli	mātra
aṅgulimukha	aṅguli	mukha
aṅgulī-mukha	aṅguli	?
aṅgulimudrā	aṅguli	mudrā
aṅgulimudrikā	aṅguli	mudrikā
aṅgulimoṭana	aṅguli	moṭana
aṅguliveṣṭaka	aṅguli	veṣṭaka
aṅguliveṣṭana	aṅguli	veṣṭana
aṅguliṣaṅga	aṅguli	ṣaṅga
aṅgulisaṃdeśa	aṅguli	saṃdeśa
aṅgulisphoṭana	aṅguli	sphoṭana
aṅgulī-granthi	aṅguli	?
aṅgulī-pañcaka	aṅguli	?
aṅgulī-parvan	aṅguli	?
aṅgulī-bhaṅga	aṅguli	?
aṅgulī-veṣṭa	aṅguli	?
aṅgulī-sambhūta	aṅguli	?
aṅguly-agra	aṅguli	?
aṅguly-ādi	aṅguli	?
aṅguṣṭhamātra	aṅguṣṭha	mātra
aṅguṣṭhamātraka	aṅguṣṭha	mātraka
aṅguṣṭhavibhedaka	aṅguṣṭha	vibhedaka
aṅghā@ri	aṅgha	?
aṅghrināmaka	aṅghri	nāmaka
aṅghrināman	aṅghri	nāman
aṅghripa	aṅghri	pa
aṅghriparṇī	aṅghri	parṇī
aṅghrivalli	aṅghri	valli
aṅghrivallikā	aṅghri	vallikā
aṅghripāta	aṅghri	pāta
aṅghripāna	aṅghri	pāna
aṅghrisaṃdhi	aṅghri	saṃdhi
aṅghriskandha	aṅghri	skandha
aṅghry-avanejana	aṅghri	?
aj-anta	ac	?
a-cakṣur-viṣaya	acakṣus	?
acakṣuṣ-ṭva	acakṣus	?
acaṇḍamarīci	acaṇḍa	marīci
acalakīlā	acala	kīlā
acalatviṣ	acala	tviṣ
acaladhṛti	acala	dhṛti
acalapura	acala	pura
acalabhrātṛ	acala	bhrātṛ
acalamati	acala	mati
acalaśreṣṭha	acala	śreṣṭha
acalā@dhipa	acala	?
acalā-saptamī	acala	?
acākrikatā	acākrika	tā
acittapājas	acitta	pājas
acittamanas	acitta	manas
acintyakarman	acintya	karman
acintyarūpa	acintya	rūpa
aciradyuti	acira	dyuti
aciraprabhā	acira	prabhā
aciraprasūtā	acira	prasūtā
acirabhās	acira	bhās
aciramṛta	acira	mṛta
acirarocis	acira	rocis
acirā@ṃśu	acira	?
acirā@bhā	acira	?
a-ciro@ḍhā	acira	?
aceṣṭatā	aceṣṭa	tā
accho@da	accha	?
acchabhalla	accha	bhalla
acchidrakāṇḍa	acchidra	kāṇḍa
a-cchidro@ktha	acchidra	?
acchidro@ti	acchidra	?
acchidro@dhnī	acchidra	?
acchinnapattra	acchinna	pattra
acchinnaparṇa	acchinna	parṇa
acyutakṣit	acyuta	kṣit
acyutacakravartin	acyuta	cakravartin
acyutacyut	acyuta	cyut
acyutaja	acyuta	ja
acyutajallakin	acyuta	jallakin
acyutadanta	acyuta	danta
acyutanta	acyuta	?
acyutapājas	acyuta	pājas
acyutamanas	acyuta	manas
acyutamūrti	acyuta	mūrti
acyutaruṣ	acyuta	ruṣ
acyutavāsa	acyuta	vāsa
acyutasthala	acyuta	sthala
acyutā@graja	acyuta	?
acyuto@pādhyāya	acyuta	?
ajakarṇa	aja	karṇa
ajakarṇaka	aja	karṇaka
ajakūlā	aja	kūlā
ajakṣīra	aja	kṣīra
ajagati	aja	gati
ajagandhā	aja	gandhā
ajagandhikā	aja	gandhikā
ajagandhinī	aja	gandhinī
ajagara	aja	gara
ajagallikā	aja	gallikā
ajajīvana	aja	jīvana
ajajīvika	aja	jīvika
ajatā	aja	tā
ajatva	aja	tva
ajā-tva	aja	?
ajadaṇḍī	aja	daṇḍī
ajadevatā	aja	devatā
ajanāmaka	aja	nāmaka
ajapa	aja	pa
ajapatha	aja	patha
ajapada	aja	pada
ajapāda	aja	pāda
ajapād	aja	pād
ajapārśva	aja	pārśva
ajapāla	aja	pāla
ajababhru	aja	babhru
ajabhakṣa	aja	bhakṣa
ajamāyu	aja	māyu
ajamāra	aja	māra
ajamīḍha	aja	mīḍha
ajamīḷha	aja	mīḷha
ajamukha	aja	mukha
ajameru	aja	meru
ajamoda	aja	moda
ajamodā	aja	modā
ajamodikā	aja	modikā
ajarṣabha	aja	rṣabha
ajalambana	aja	lambana
ajaloman	aja	loman
ajalomī	aja	lomī
ajavasti	aja	vasti
ajavāha	aja	vāha
ajavīthī	aja	vīthī
ajaśṛṅgī	aja	śṛṅgī
ajastunda	aja	stunda
ajahā	aja	hā
ajā-kṛpāṇīya	aja	?
ajā-kṣīra	aja	?
ajā-gala	aja	?
ajāgala-stana	aja	?
ajā-jīva	aja	?
ajā-taulvali	aja	?
ajā@da	aja	?
ajā@danī	aja	?
ajā@di	aja	?
ajā@ntrī	aja	?
ajā-payas	aja	?
ajā-pālaka	aja	?
ajā@vi	aja	?
ajā@vika	aja	?
ajā@śva	aja	?
ajai@kapād	aja	?
ajai@ḍaka	aja	?
ajakā-jāta	ajaka	?
ajaḍadhī	ajaḍa	dhī
ajanayoni-ja	ajana	yoni-ja
ajayapāla	ajaya	pāla
ajayavarman	ajaya	varman
ajayasiṃha	ajaya	siṃha
ajarā@mara	ajara	?
ajahatsvārthā	ajahat	svārthā
ajahal-liṅga	ajahat	?
ajātakakud	ajāta	kakud
ajātapakṣa	ajāta	pakṣa
ajātaloman	ajāta	loman
ajātavyañjana	ajāta	vyañjana
ajātavyavahāra	ajāta	vyavahāra
ajātaśatru	ajāta	śatru
ajātā@nuśaya	ajāta	?
ajātā@ri	ajāta	?
ajāmitā	ajāmi	tā
ajāmitva	ajāmi	tva
ajitakeśa-kambala	ajita	keśa-kambala
ajitabalā	ajita	balā
ajitavikrama	ajita	vikrama
ajitā@tman	ajita	?
ajitā@pīḍa	ajita	?
ajite@ndriya	ajita	?
ajinapattrā	ajina	pattrā
ajinapattrī	ajina	pattrī
ajinapattrikā	ajina	pattrikā
ajinaphalā	ajina	phalā
ajinayoni	ajina	yoni
ajinaratna	ajina	ratna
ajinavāsin	ajina	vāsin
ajinasandha	ajina	sandha
ajiravatī	ajira	vatī
ajiraśocis	ajira	śocis
ajirā@di	ajira	?
ajirā@dhi-rāja	ajira	?
ajihmaga	ajihma	ga
ajihmā@gra	ajihma	?
ajītapunarvaṇya	ajīta	punarvaṇya
ajīryattā	ajīryat	tā
ajñatā	ajña	tā
ajñatva	ajña	tva
ajñātakula-śīla	ajñāta	kula-śīla
ajñātaketa	ajñāta	keta
ajñātabhukta	ajñāta	bhukta
ajñātayakṣma	ajñāta	yakṣma
ajñātavāsa	ajñāta	vāsa
ajñātaśīla	ajñāta	śīla
ajñānakṛta	ajñāna	kṛta
ajñānatas	ajñāna	tas
ajñānatā	ajñāna	tā
ajñānatva	ajñāna	tva
ajñānabandhana	ajñāna	bandhana
ajñānabodhinī	ajñāna	bodhinī
ajñānavidhvaṃsana	ajñāna	vidhvaṃsana
ajyeṣṭhavṛtti	ajyeṣṭha	vṛtti
añcitapattra	añcita	pattra
añcitapattrā@kṣa	añcita	pattrā@kṣa
añcitabhrū	añcita	bhrū
añcitalāṅgūla	añcita	lāṅgūla
añjanakeśa	añjana	keśa
añjananāmikā	añjana	nāmikā
añjanavat	añjana	vat
añjanā-giri	añjana	?
añjanā@dhikā	añjana	?
añjanā@mbhas	añjana	?
añjanā-vatī	añjana	?
añjaḥ-sava	añjas	?
añjaspā	añjas	pā
añjasā@yana	añjasā	?
añjimat	añji	mat
añjisaktha	añji	saktha
añjy-eta	añji	?
añjalikarman	añjali	karman
añjalikārikā	añjali	kārikā
añjalipuṭa	añjali	puṭa
añjalibandhana	añjali	bandhana
añjalī-kṛta	añjali	?
aṭavīśikhara	aṭavī	śikhara
aṭṭapati-bhāgā@khya-gṛha-kṛtya	aṭṭa	pati-bhāgā@khya-gṛha-kṛtya
aṭṭapālaka	aṭṭa	pālaka
aṭṭasthalī	aṭṭa	sthalī
aṭṭahasita	aṭṭa	hasita
aṭṭahāsa	aṭṭa	hāsa
aṭṭahāsaka	aṭṭa	hāsaka
aṭṭahāsin	aṭṭa	hāsin
aṭṭahāsya	aṭṭa	hāsya
aṭṭā@ṭṭa-hāsa	aṭṭa	?
aṇīci	aṇī	?
aṇīcin	aṇī	?
aṇīmāṇḍavya	aṇī	māṇḍavya
aṇima-tas	aṇiman	?
aṇupriyaṅgu	aṇu	priyaṅgu
aṇutara	aṇu	tara
aṇutaila	aṇu	taila
aṇutva	aṇu	tva
aṇutā	aṇu	tā
aṇubhā	aṇu	bhā
aṇumadhya-bīja	aṇu	madhya-bīja
aṇumātra	aṇu	mātra
aṇumātrika	aṇu	mātrika
aṇureṇu	aṇu	reṇu
aṇureṇu-jāla	aṇu	reṇu-jāla
aṇurevatī	aṇu	revatī
aṇuvādin	aṇu	vādin
aṇuvedānta	aṇu	vedānta
aṇuvrata	aṇu	vrata
aṇuvrīhi	aṇu	vrīhi
aṇuśas	aṇu	śas
aṇū	aṇu	?
aṇv-anta	aṇu	?
aṇūbhāva	aṇū	bhāva
aṇūbhū	aṇū	?
aṇḍakaṭāha	aṇḍa	kaṭāha
aṇḍakoṭara-puṣpī	aṇḍa	koṭara-puṣpī
aṇḍakośa	aṇḍa	kośa
aṇḍakoṣa	aṇḍa	koṣa
aṇḍakoṣaka	aṇḍa	koṣaka
aṇḍaja	aṇḍa	ja
aṇḍaje@śvara	aṇḍa	je@śvara
aṇḍadala	aṇḍa	dala
aṇḍadhara	aṇḍa	dhara
aṇḍavardhana	aṇḍa	vardhana
aṇḍavṛddhi	aṇḍa	vṛddhi
aṇḍasū	aṇḍa	sū
aṇḍā@karṣaṇa	aṇḍa	?
aṇḍā@kāra	aṇḍa	?
aṇḍā@kṛti	aṇḍa	?
ad-bhuta	at	?
atanavat	atana	vat
a-tatho@cita	atathā	?
atadarha	atad	arha
atadguṇa	atad	guṇa
ataptatanū	atapta	tanū
ataptatapas	atapta	tapas
a-tamā@viṣṭa	atamas	?
atarkito@papanna	atarkita	?
atarkyasahasra-śakti	atarkya	sahasra-śakti
atalasparśa	atala	sparśa
atalaspṛś	atala	spṛś
ata-ūrdhvam	atas	?
ata-eva	atas	?
ataḥ-param	atas	?
ato-nimittam	atas	?
ato-'nya	atas	?
ato-'rtham	atas	?
atikaṭhora	ati	kaṭhora
atikatha	ati	katha
atikarṣaṇa	ati	karṣaṇa
atikalyam	ati	kalyam
atikānta	ati	kānta
atikāya	ati	kāya
atikiriṭa	ati	kiriṭa
atikirīṭa	ati	kirīṭa
atikutsita	ati	kutsita
atikulva	ati	kulva
atikṛcchra	ati	kṛcchra
atikṛta	ati	kṛta
atikṛśa	ati	kṛśa
atikṛṣṇa	ati	kṛṣṇa
atikruddha	ati	kruddha
atikrudh	ati	krudh
atikruṣṭa	ati	kruṣṭa
atikhara	ati	khara
atigaṇḍa	ati	gaṇḍa
atigandha	ati	gandha
atigandhālu	ati	gandhālu
atigarīyas	ati	garīyas
atigarvita	ati	garvita
atigahana	ati	gahana
atigāḍha	ati	gāḍha
atigārgya	ati	gārgya
atiguṇa	ati	guṇa
atigupta	ati	gupta
atiguru	ati	guru
atigo	ati	go
aticaṇḍa	ati	caṇḍa
aticaraṇa	ati	caraṇa
aticāpalya	ati	cāpalya
aticira	ati	cira
atichattra	ati	chattra
atichattraka	ati	chattraka
atijara	ati	jara
atijaras	ati	jaras
atijala	ati	jala
atijava	ati	java
atijāgara	ati	jāgara
atijīrṇa	ati	jīrṇa
atijīrṇa-tā	ati	jīrṇa-tā
atijīva	ati	jīva
atiḍīna	ati	ḍīna
atitapasvin	ati	tapasvin
atitamām	ati	tamām
atitīkṣṇa	ati	tīkṣṇa
atitīvra	ati	tīvra
atitṛṇṇa	ati	tṛṇṇa
atitṛpti	ati	tṛpti
atitṛṣṇa	ati	tṛṣṇa
atitrasnu	ati	trasnu
atidagdha	ati	dagdha
atidantura	ati	dantura
atidarpa	ati	darpa
atidarśin	ati	darśin
atidātṛ	ati	dātṛ
atidāna	ati	dāna
atidāruṇa	ati	dāruṇa
atidāha	ati	dāha
atidigdha	ati	digdha
atidīrgha	ati	dīrgha
atiduḥkhita	ati	duḥkhita
atiduḥsaha	ati	duḥsaha
atidurgata	ati	durgata
atidurdharṣa	ati	durdharṣa
atidur-lambha	ati	dur-lambha
atiduṣkara	ati	duṣkara
atidūra	ati	dūra
atidoṣa	ati	doṣa
atidvaya	ati	dvaya
atidhavala	ati	dhavala
atidhenu	ati	dhenu
atinidra	ati	nidra
atinipuṇa	ati	nipuṇa
atinīca	ati	nīca
atipathin	ati	pathin
atipada	ati	pada
atiparokṣa	ati	parokṣa
atiparokṣa-vṛtti	ati	parokṣa-vṛtti
atipātaka	ati	pātaka
atipuruṣa	ati	puruṣa
atipūruṣa	ati	pūruṣa
atipūta	ati	pūta
atipeśala	ati	peśala
atiprakāśa	ati	prakāśa
atiprage	ati	prage
atipraṇaya	ati	praṇaya
atipraṇudya	ati	praṇudya
atiprabandha	ati	prabandha
atipravaraṇa	ati	pravaraṇa
atipravṛtti	ati	pravṛtti
atipravṛddha	ati	pravṛddha
atipraśna	ati	praśna
atipraśnya	ati	praśnya
atiprasakti	ati	prasakti
atiprasaṅga	ati	prasaṅga
atiprasiddha	ati	prasiddha
atiprauḍha	ati	prauḍha
atiprauḍha-yauvana	ati	prauḍha-yauvana
atibala	ati	bala
atibahu	ati	bahu
atibālaka	ati	bālaka
atibāhu	ati	bāhu
atibībhatsa	ati	bībhatsa
atibrahmacarya	ati	brahmacarya
atibhāra	ati	bhāra
atibhāra-bhūta	ati	bhāra-bhūta
atibhāra-ga	ati	bhāra-ga
atibhī	ati	bhī
atibhīṣaṇa	ati	bhīṣaṇa
atibhṛta	ati	bhṛta
atibhojana	ati	bhojana
atibodhi-sattva	ati	bodhi-sattva
atibhrū	ati	bhrū
atimaṅgalya	ati	maṅgalya
atimati	ati	mati
atimadhyandina	ati	madhyandina
atimarśa	ati	marśa
atimanoratha-krama	ati	manoratha-krama
atimāna	ati	māna
atimānin	ati	mānin
atimāni-tā	ati	māni-tā
atimāruta	ati	māruta
atimāla	ati	māla
atimirmira	ati	mirmira
atimukta	ati	mukta
atimuktaka	ati	muktaka
atimukti	ati	mukti
atimūrti	ati	mūrti
atimemiṣa	ati	memiṣa
atimaithuna	ati	maithuna
atimokṣa	ati	mokṣa
atimodā	ati	modā
atiyava	ati	yava
atiyaśa	ati	yaśa
atiyaśas	ati	yaśas
atiyāja	ati	yāja
atiyātrā	ati	yātrā
atiyuvan	ati	yuvan
atiyoga	ati	yoga
atiraṃhas	ati	raṃhas
atirakta	ati	rakta
atiratha	ati	ratha
atirabhasa	ati	rabhasa
atirasā	ati	rasā
atirājan	ati	rājan
atirucira	ati	rucira
atiruṣ	ati	ruṣ
atirūpa	ati	rūpa
atiroga	ati	roga
atiromaśa	ati	romaśa
atilakṣmī	ati	lakṣmī
atilaṅghana	ati	laṅghana
atilamba	ati	lamba
atilubdha	ati	lubdha
atilobha	ati	lobha
atilulita	ati	lulita
atilobha	ati	lobha
atilobha-tā	ati	lobha-tā
atiloma	ati	loma
atilomaśa	ati	lomaśa
atilomaśā	ati	lomaśā
atilohita	ati	lohita
atilaulya	ati	laulya
ativaktṛ	ati	vaktṛ
ativakra	ati	vakra
ativara	ati	vara
ativartula	ati	vartula
ativāta	ati	vāta
ativāda	ati	vāda
ativādin	ati	vādin
ativālaka	ati	vālaka
ativāhana	ati	vāhana
ativikaṭa	ati	vikaṭa
ativipina	ati	vipina
ativilambin	ati	vilambin
ativīrya-prabha	ati	vīrya-prabha
ativiśrabdha-navo@ḍhā	ati	viśrabdha-navo@ḍhā
ativiṣa	ati	viṣa
ativṛddhi	ati	vṛddhi
ativṛṣṭi	ati	vṛṣṭi
ativṛṣṭi-hata	ati	vṛṣṭi-hata
ativepathu	ati	vepathu
ativaicakṣaṇya	ati	vaicakṣaṇya
ativaiśasa	ati	vaiśasa
ativyathana	ati	vyathana
ativyathā	ati	vyathā
ativyaya	ati	vyaya
ativyasta	ati	vyasta
ativyāpta	ati	vyāpta
ativyāpti	ati	vyāpti
atiśakta	ati	śakta
atiśakti	ati	śakti
atiśakti-bhāj	ati	śakti-bhāj
atiśaṅkā	ati	śaṅkā
atiśarvara	ati	śarvara
atiśasta	ati	śasta
atiśāta	ati	śāta
atiśukra	ati	śukra
atiśukla	ati	śukla
atiśobhana	ati	śobhana
atiśrama	ati	śrama
atiśrī	ati	śrī
atiślakṣṇa	ati	ślakṣṇa
atisaṃskṛta	ati	saṃskṛta
atisakti	ati	sakti
atisakti-mat	ati	sakti-mat
atisaṃcaya	ati	saṃcaya
atisaṃtapta	ati	saṃtapta
atisaṃdheya	ati	saṃdheya
atisamartha	ati	samartha
atisamīpa	ati	samīpa
atisamparka	ati	samparka
atisarasvatī	ati	sarasvatī
atisarva	ati	sarva
atisādhvasa	ati	sādhvasa
atisāntapana	ati	sāntapana
atisāyam	ati	sāyam
atisiddhi	ati	siddhi
atisitā@ṅga-vihaṃga	ati	sitā@ṅga-vihaṃga
atisujana	ati	sujana
atisundara	ati	sundara
atisulabha	ati	sulabha
atisuhita	ati	suhita
atisṛṣṭi	ati	sṛṣṭi
atisevā	ati	sevā
atisaurabha	ati	saurabha
atisauhitya	ati	sauhitya
atistuti	ati	stuti
atisthira	ati	sthira
atisthūla	ati	sthūla
atisnigdha	ati	snigdha
atisparśa	ati	sparśa
atisphira	ati	sphira
atisvapna	ati	svapna
atisvastha	ati	svastha
atisvinna	ati	svinna
atihasita	ati	hasita
atihāsa	ati	hāsa
atihrasva	ati	hrasva
aty-akṣara	ati	?
aty-agni	ati	?
aty-aṇu	ati	?
aty-adbhuta	ati	?
aty-adhvan	ati	?
aty-amarṣaṇa	ati	?
aty-amarṣin	ati	?
aty-amla	ati	?
aty-amla-parṇī	ati	?
aty-alpa	ati	?
aty-aśana	ati	?
aty-aśnat	ati	?
aty-asama	ati	?
aty-ākhaṇḍala-vikrama	ati	?
aty-ādara	ati	?
aty-ādāna	ati	?
aty-ānanda	ati	?
aty-āpti	ati	?
aty-āyus	ati	?
aty-ārūḍhi	ati	?
aty-āroha	ati	?
aty-āśā	ati	?
aty-āśita	ati	?
aty-āsārin	ati	?
aty-āhāra	ati	?
aty-āhārin	ati	?
aty-āhita	ati	?
aty-ukti	ati	?
aty-ugra	ati	?
aty-uccais	ati	?
aty-uccair-dhvani	ati	?
aty-utkaṭa	ati	?
aty-utsāha	ati	?
aty-udāra	ati	?
aty-urvī@śa	ati	?
aty-ulbaṇa	ati	?
aty-ulvaṇa	ati	?
aty-uṣṇa	ati	?
aty-ūrjitam	ati	?
aty-ūdhnī	ati	?
aty-ūrdhvā@kṣa	ati	?
aty-ṛṣabha	ati	?
atikrāntaniṣedha	atikrānta	niṣedha
ati-krāntā@tikrānta	atikrānta	?
atithīkṛ	atithi	?
atithikriyā	atithi	kriyā
atithigva	atithi	gva
atithitva	atithi	tva
atithideva	atithi	deva
atithidveṣa	atithi	dveṣa
atithidharma	atithi	dharma
atithidharmin	atithi	dharmin
atithipati	atithi	pati
atithipūjana	atithi	pūjana
atithipūjā	atithi	pūjā
atithībhū	atithi	?
atithivat	atithi	vat
atithisatkāra	atithi	satkāra
atithisevā	atithi	sevā
atithy-artha	atithi	?
ati-prāṇa-priya	atiprāṇam	?
atirāja-kumāri	atirājan	?
atirātrayājin	atirātra	yājin
atirātrasavanīya-paśu	atirātra	savanīya-paśu
atiriktatā	atirikta	tā
atiriktā@ṅga	atirikta	?
atiśayavat	atiśaya	vat
atiśayo@kti	atiśaya	?
atiśayo@pamā	atiśaya	?
atiśreṣṭhatva	atiśreṣṭha	tva
ati-ṣṭhāvan	atiṣṭhā	?
atiṣṭhāvat	atiṣṭhā	vat
atītakāla	atīta	kāla
atītanauka	atīta	nauka
atulyaprabha	atulya	prabha
atuhinadhāman	atuhina	dhāman
atuhinaraśmi	atuhina	raśmi
atuhinaruci	atuhina	ruci
atūrtadakṣa	atūrta	dakṣa
atūrtapathin	atūrta	pathin
atṛptadṛś	atṛpta	dṛś
atejaska	atejas	ka
atejasvin	atejas	vin
a-tejo-maya	atejas	?
atyagnisomā@rka	atyagni	somā@rka
atyantakopana	atyanta	kopana
atyantaga	atyanta	ga
atyantagata	atyanta	gata
atyantagati	atyanta	gati
atyantagāmin	atyanta	gāmin
atyantaguṇin	atyanta	guṇin
atyantatiraskṛta-vācya-dhvani	atyanta	tiraskṛta-vācya-dhvani
atyantapīḍana	atyanta	pīḍana
atyantavāsin	atyanta	vāsin
aty-antaśas	atyanta	?
atyantasaṃyoga	atyanta	saṃyoga
atyantasamparka	atyanta	samparka
atyantasukumāra	atyanta	sukumāra
atyantā@bhāva	atyanta	?
atyayikapiṇḍa-pāta	atyayika	piṇḍa-pāta
atyaṣṭisāmagrī	atyaṣṭi	sāmagrī
atradaghna	atra	daghna
atrabhavat	atra	bhavat
atrasad	atra	sad
atrai@va	atra	?
atricaturaha	atri	caturaha
atrijāta	atri	jāta
atridṛg-ja	atri	dṛg-ja
atrinetra-ja	atri	netra-ja
atrinetra-prasūta	atri	netra-prasūta
atrinetra-prabhava	atri	netra-prabhava
atrinetra-sūta	atri	netra-sūta
atrinetra-bhū	atri	netra-bhū
atribhāradvājikā	atri	bhāradvājikā
atrivat	atri	vat
atrisaṃhitā	atri	saṃhitā
atrismṛti	atri	smṛti
atha-kim	athā	?
atha-kimu	athā	?
atha-ca	athā	?
atha-tu	athā	?
atha-vā	athā	?
atha-vā@pi	athā	?
athā@tas	athā	?
athā@nantaram	athā	?
athā@pi	athā	?
athovā	atho	vā
atharvabhūta	atharva	bhūta
atharvavat	atharva	vat
atharvavid	atharva	vid
atharvaveda	atharva	veda
atharvaśikhā	atharva	śikhā
atharvaśiras	atharva	śiras
atharvahṛdaya	atharva	hṛdaya
atharvā@ṅgiras	atharva	?
atharvā@ṅgirasa	atharva	?
atharvāṇavid	atharvāṇa	vid
adakṣiṇatva	adakṣiṇa	tva
a-dattā@dāna	adatta	?
a-dattā@dāyika	adatta	?
a-dattā@dāyin	adatta	?
adantajāta	adanta	jāta
a-dantā@ghātin	adanta	?
adabdhacakṣus	adabdha	cakṣus
adabdhadhīti	adabdha	dhīti
adabdhavrata-pramati	adabdha	vrata-pramati
adabdhā@yu	adabdha	?
adabdhā@su	adabdha	?
adarśanapatha	adarśana	patha
a-daśa-māsya	adaśan	?
adaḥ-kṛtya	adas	?
ado-bhavati	adas	?
ado-maya	adas	?
ado-mūla	adas	?
aditikuṇḍalā@haraṇa	aditi	kuṇḍalā@haraṇa
aditija	aditi	ja
adititva	aditi	tva
aditinandana	aditi	nandana
a-divā@śin	adivā	?
adivāsvāpin	adivā	svāpin
adīnagātratā	adīna	gātratā
adīnasattva	adīna	sattva
adīnā@tman	adīna	?
adīrghadarśin	adīrgha	darśin
adīrghasūtra	adīrgha	sūtra
aduḥkhanavamī	aduḥkha	navamī
aduḥkhasukha-vedanā	aduḥkha	sukha-vedanā
adurgaviṣaya	adurga	viṣaya
aduṣṭatva	aduṣṭa	tva
adūrabhava	adūra	bhava
adūṣitadhī	adūṣita	dhī
adṛptakratu	adṛpta	kratu
adṛśyakaraṇa	adṛśya	karaṇa
adṛṣṭakarman	adṛṣṭa	karman
adṛṣṭakāma	adṛṣṭa	kāma
adṛṣṭaja	adṛṣṭa	ja
adṛṣṭanara	adṛṣṭa	nara
adṛṣṭapuruṣa	adṛṣṭa	puruṣa
adṛṣṭapara-sāmarthya	adṛṣṭa	para-sāmarthya
adṛṣṭapūrva	adṛṣṭa	pūrva
adṛṣṭaphala	adṛṣṭa	phala
adṛṣṭarūpa	adṛṣṭa	rūpa
adṛṣṭavat	adṛṣṭa	vat
adṛṣṭahan	adṛṣṭa	han
adṛṣṭā@rtha	adṛṣṭa	?
adṛṣṭā@śrutapūrvatva	adṛṣṭa	?
adeyadāna	adeya	dāna
adevamātṛka	adeva	mātṛka
adeśakāla	adeśa	kāla
adeśaja	adeśa	ja
adeśastha	adeśa	stha
adoṣadarśin	adoṣa	darśin
addhātama	addhā	tama
addhāpuruṣa	addhā	puruṣa
addhābodheya	addhā	bodheya
adbhutakarman	adbhuta	karman
adbhutakṛṣṇa-rāja	adbhuta	kṛṣṇa-rāja
adbhutakratu	adbhuta	kratu
adbhutagandha	adbhuta	gandha
adbhutatama	adbhuta	tama
adbhutatva	adbhuta	tva
adbhutadarpaṇa	adbhuta	darpaṇa
adbhutadarśana	adbhuta	darśana
adbhutadharma	adbhuta	dharma
adbhutabrāhmaṇa	adbhuta	brāhmaṇa
adbhutabhīma-karman	adbhuta	bhīma-karman
adbhutaraṅga	adbhuta	raṅga
adbhutarasa	adbhuta	rasa
adbhutarāmāyaṇa	adbhuta	rāmāyaṇa
adbhutarūpa	adbhuta	rūpa
adbhutaśānti	adbhuta	śānti
adbhutasaṃkāśa	adbhuta	saṃkāśa
adbhutasāra	adbhuta	sāra
adbhutasvana	adbhuta	svana
adbhutā@rtha	adbhuta	?
adbhutai@nas	adbhuta	?
adbhuto@ttarakāṇḍa	adbhuta	?
adbhuto@tpāta	adbhuta	?
adbhuto@pama	adbhuta	?
admasad	adma	sad
admasadya	adma	sadya
admasadvan	adma	sadvan
adyatas	adya	tas
adyatva	adya	tva
adyadina	adya	dina
adyadivasa	adya	divasa
adyapūrvam	adya	pūrvam
adyaprabhṛti	adya	prabhṛti
adyayajña	adya	yajña
adyaśva	adya	śva
